 year   T_global   T_land   T_ocean   P_global   P_land   P_ocean
  1851.0   286.56576985967297   281.6182960206705   289.0766542254464   3.568173089029584e-05   2.6368957621960637e-05   4.040804123823906e-05 
  1852.0   286.7482418332331   282.0765249777496   289.11917722278105   3.578281172944534e-05   2.750858720973118e-05   3.998204989856287e-05 
  1853.0   286.5902360883129   281.7244795267457   289.0596482521096   3.568091646670243e-05   2.770689587412954e-05   3.972779863117359e-05 
  1854.0   286.55336104101696   281.54215102416606   289.09659205029   3.5610497582301e-05   2.769476651708909e-05   3.9627797323963735e-05 
  1855.0   286.5836208582175   281.6026795363566   289.1114902515435   3.5557993737981374e-05   2.694356806594707e-05   3.992988683815578e-05 
  1856.0   286.6475188482377   281.74181343560485   289.1372053881778   3.554855699818809e-05   2.730739876254012e-05   3.973101375149671e-05 
  1857.0   286.65889678492675   281.6057970617467   289.2233871706274   3.562790447803739e-05   2.732885589346071e-05   3.9839741067760355e-05 
  1858.0   286.7373750741687   281.83285091526204   289.22646211795995   3.577986978567933e-05   2.7000282103689664e-05   4.023558398771533e-05 
  1859.0   286.7328675243879   281.8187170944334   289.2268399812731   3.561953829752178e-05   2.7205914597697396e-05   3.988952271681269e-05 
  1860.0   286.60545819090476   281.55380868999123   289.16921257667195   3.57251814234052e-05   2.7744273288526026e-05   3.977555907322064e-05 
  1861.0   286.5621804780107   281.4936628822385   289.13449556304386   3.552608244642887e-05   2.6510589192094763e-05   4.010152070010694e-05 
  1862.0   286.6450298014215   281.75028332743585   289.12915458831134   3.571377441438439e-05   2.7621629210531292e-05   3.9820605807356436e-05 
  1863.0   286.63441565027716   281.7401707971225   289.1182858603986   3.5596095909251206e-05   2.7534950175137428e-05   3.9687194811977e-05 
  1864.0   286.7710088683542   281.84882367995635   289.26905903237133   3.5762230400422523e-05   2.6324614623912858e-05   4.055189936574498e-05 
  1865.0   286.631180068812   281.7542589763782   289.10625832543036   3.563633064965717e-05   2.7547112105698418e-05   3.974167673824728e-05 
  1866.0   286.4708682619863   281.5338663589556   288.9764380326418   3.5659826801651915e-05   2.8186963376010487e-05   3.945236751103067e-05 
  1867.0   286.51708228855455   281.6071549973132   289.00891146721045   3.554025633998793e-05   2.7236880029529783e-05   3.9754289286803184e-05 
  1868.0   286.5439583526852   281.6063459917978   289.0498379358103   3.575883862394628e-05   2.7182981969461834e-05   4.0111157625030815e-05 
  1869.0   286.5374096441943   281.591264165781   289.04761985585526   3.561916859747974e-05   2.7552147156543376e-05   3.971324947057643e-05 
  1870.0   286.59099832001453   281.7473906147763   289.04916975391853   3.562743255156331e-05   2.709986662361988e-05   3.995524360490939e-05 
  1871.0   286.6303156030776   281.838924346938   289.06198675220094   3.544396485676023e-05   2.7028598259635773e-05   3.971483381101268e-05 
  1872.0   286.5367236897006   281.72743945634977   288.9774756744582   3.551448354826472e-05   2.7440493730258627e-05   3.9612100931024436e-05 
  1873.0   286.2977786512408   281.4306731808847   288.76787539753343   3.5433593770344156e-05   2.859373120575059e-05   3.890488124681109e-05 
  1874.0   286.44741173875155   281.524700172444   288.94572904396165   3.538498012076281e-05   2.7643280098848855e-05   3.93139576519408e-05 
  1875.0   286.773013085272   281.76510852530186   289.3145665475233   3.5644654371162284e-05   2.646470643598805e-05   4.030355475125819e-05 
  1876.0   286.9313628874723   282.1166155817522   289.37488742716346   3.606913214701748e-05   2.8264621275609435e-05   4.0029986709813586e-05 
  1877.0   286.78399626988346   281.8888341572507   289.2683319968642   3.578515934054078e-05   2.7791790678048576e-05   3.9841860812369424e-05 
  1878.0   286.76933233305243   281.9089151812087   289.236034701743   3.559455674041434e-05   2.6986684246352604e-05   3.996312404794125e-05 
  1879.0   286.8220424548532   281.947749715298   289.2957868003959   3.582471724138998e-05   2.7189657346654418e-05   4.020708238221918e-05 
  1880.0   286.9035503036307   282.09446171065235   289.3442029992624   3.5944540809425834e-05   2.7389513950727383e-05   4.028628851487886e-05 
  1881.0   286.8270366626154   282.1085054556295   289.2217307272179   3.581797929329489e-05   2.7430462659727146e-05   4.007471415803874e-05 
